# Verner & Yakovlev, 1995, A&AS, 109, 125
# Downloaded from http://www.pa.uky.edu/~verner/photo.html on 29/11/2016
#Z  N n l    E_th       E_0      \sigma_0     y_a          P        y_w
 8  7 1 0 0.5581E+03 0.1690E+03 0.3584E+02 0.1894E+03 0.1185E+01 0.0000E+00
 8  6 2 1 0.5494E+02 0.2067E+02 0.2318E+03 0.7136E+02 0.3618E+01 0.5538E-01
 8  6 2 0 0.6551E+02 0.1594E+02 0.1217E+03 0.6156E+01 0.7271E+01 0.0000E+00
 8  6 1 0 0.5840E+03 0.1620E+03 0.3939E+02 0.1104E+03 0.1289E+01 0.0000E+00
 8  5 2 1 0.7741E+02 0.1937E+02 0.1619E+03 0.7312E+02 0.3648E+01 0.3760E-01
 8  5 2 0 0.8737E+02 0.7942E+01 0.1063E+03 0.9708E+01 0.8183E+01 0.0000E+00
 8  5 1 0 0.6144E+03 0.1593E+03 0.4123E+02 0.1141E+03 0.1287E+01 0.0000E+00
 8  4 2 0 0.1139E+03 0.8467E+01 0.9641E+02 0.2287E+02 0.6061E+01 0.0000E+00
 8  4 1 0 0.6491E+03 0.1377E+03 0.5735E+02 0.5486E+02 0.1540E+01 0.0000E+00
 8  3 2 0 0.1381E+03 0.9141E+01 0.6896E+02 0.3896E+02 0.4943E+01 0.0000E+00
 8  3 1 0 0.6837E+03 0.1354E+03 0.6029E+02 0.5682E+02 0.1533E+01 0.0000E+00
 8  2 1 0 0.7393E+03 0.8709E+02 0.1329E+03 0.2535E+02 0.2336E+01 0.0000E+00
 8  1 1 0 0.8714E+03 0.2754E+02 0.8554E+03 0.3288E+02 0.2963E+01 0.0000E+00
 9  9 2 1 0.1742E+02 0.1658E+02 0.2775E+06 0.1242E+01 0.1249E+02 0.3857E+00
 9  9 2 0 0.3786E+02 0.2568E+02 0.1097E+03 0.4297E+01 0.7303E+01 0.0000E+00
 9  9 1 0 0.6940E+03 0.2390E+03 0.2295E+02 0.1257E+04 0.9638E+00 0.0000E+00
 9  8 2 1 0.3497E+02 0.2658E+02 0.2649E+03 0.5000E+02 0.4000E+01 0.3000E+00
 9  8 2 0 0.5459E+02 0.2882E+02 0.2439E+02 0.2600E+02 0.4500E+01 0.0000E+00
 9  8 1 0 0.7122E+03 0.1660E+03 0.4798E+02 0.5000E+02 0.1650E+01 0.0000E+00
 9  7 2 1 0.6271E+02 0.2744E+02 0.2458E+03 0.7329E+02 0.3596E+01 0.1390E+00
 9  7 2 0 0.7610E+02 0.2307E+02 0.7140E+02 0.7282E+01 0.6543E+01 0.0000E+00
 9  7 1 0 0.7392E+03 0.2055E+03 0.3144E+02 0.1230E+03 0.1263E+01 0.0000E+00
 9  6 2 1 0.8714E+02 0.2292E+02 0.3005E+03 0.5000E+02 0.4000E+01 0.3000E+00
 9  6 2 0 0.9957E+02 0.2629E+02 0.3563E+02 0.2600E+02 0.4500E+01 0.0000E+00
 9  6 1 0 0.7709E+03 0.1603E+03 0.5302E+02 0.5000E+02 0.1650E+01 0.0000E+00
